Park County, Wyoming, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
201012,21.8,
201101,20.3,
201102,16.5,
201103,29.6,
201104,32.8,
201105,41.2,
201106,51.3,
201107,62,
201108,61.3,
201109,53.8,
201110,42.4,
201111,26.2,
201112,20.5,
201201,23.7,
201202,21.9,
201203,35.5,
201204,40.9,
201205,44.7,
201206,55.6,
201207,64.3,
201208,61.5,
201209,53.9,
201210,38.3,
201211,31.6,
201212,20.2,
201301,20,
201302,22,
201303,28.8,
201304,32.4,
201305,46.6,
201306,55.1,
201307,63.2,
201308,62.3,
201309,52.7,
201310,36.4,
201311,29.6,
201312,17.1,
201401,22.5,
201402,16.8,
201403,29.4,
201404,36.6,
201405,47,
201406,51.4,
201407,62.1,
201408,57.8,
201409,51.6,
201410,44.2,
201411,24.6,
201412,23.4,
201501,25.5,
201502,27.2,
201503,35.6,
201504,38,
201505,44.8,
201506,59.2,
201507,59.1,
201508,59.4,
201509,54.8,
201510,45.7,
201511,26,
201512,20.6,
201601,24.1,
201602,29.6,
201603,32.1,
201604,40.6,
201605,45.7,
201606,58.9,
201607,60.9,
201608,59.5,
201609,51,
201610,42.2,
201611,35.3,
201612,14.6,
201701,15.8,
201702,25.8,
201703,36.2,
201704,37.5,
201705,46.5,
201706,54.7,
201707,63.9,
201708,59.4,
201709,50,
201710,38.2,
201711,30.6,
201712,22.2,
201801,24.7,
201802,16.8,
201803,29.7,
201804,36.4,
201805,49.3,
201806,54.2,
201807,62.3,
201808,58.8,
201809,51.8,
201810,38.6,
201811,26.6,
201812,20.6,
201901,24,
